"GEO","TIME_PERIOD","MODE","FUEL_TYPE","OBS_VALUE","UNIT_MEASURE"
"IND","FY2016","Cars","Petrol",1270333,"Registrations"
"IND","FY2016","Bus","EV",4,"Registrations"
"IND","FY2016","Bus","Diesel",95320,"Registrations"
"IND","FY2016","LGV (up to 7/5 tonnes)","EV",14,"Registrations"
"IND","FY2016","LGV (up to 7/5 tonnes)","Diesel",322987,"Registrations"
"IND","FY2016","MGV (7.5-12 tonnes)","EV",0,"Registrations"
"IND","FY2016","MGV (7.5-12 tonnes)","Diesel",24493,"Registrations"
"IND","FY2016","HGV (>12 tonnes)","EV",5,"Registrations"
"IND","FY2016","HGV (>12 tonnes)","Diesel",220015,"Registrations"
"IND","FY2016","Others","EV",162,"Registrations"
"IND","FY2016","2W","Other",27612,"Registrations"
"IND","FY2016","3W Passenger","Other",80615,"Registrations"
"IND","FY2016","3W Goods","Other",890,"Registrations"
"IND","FY2016","Cars","Other",218548,"Registrations"
"IND","FY2016","Bus","Other",18124,"Registrations"
"IND","FY2016","LGV (up to 7/5 tonnes)","Other",15606,"Registrations"
"IND","FY2016","MGV (7.5-12 tonnes)","Other",239,"Registrations"
"IND","FY2016","HGV (>12 tonnes)","Other",1729,"Registrations"
"IND","FY2016","Others","Other",668320,"Registrations"
"IND","FY2017","2W","EV",1394,"Registrations"
"IND","FY2017","2W","Petrol",16733216,"Registrations"
"IND","FY2017","3W Passenger","EV",1176,"Registrations"
"IND","FY2017","3W Passenger","Diesel",206240,"Registrations"
"IND","FY2017","3W Passenger","Petrol/CNG",97412,"Registrations"
"IND","FY2017","3W Goods","EV",33,"Registrations"
"IND","FY2017","3W Goods","Diesel",80598,"Registrations"
"IND","FY2017","3W Goods","CNG",1155,"Registrations"
"IND","FY2017","Cars","EV",769,"Registrations"
"IND","FY2017","Cars","Diesel",1170548,"Registrations"
"IND","FY2017","Cars","Petrol",1447845,"Registrations"
"IND","FY2017","Bus","EV",4,"Registrations"
"IND","FY2017","Bus","Diesel",102217,"Registrations"
"IND","FY2017","LGV (up to 7/5 tonnes)","EV",108,"Registrations"
"IND","FY2017","LGV (up to 7/5 tonnes)","Diesel",335900,"Registrations"
"IND","FY2017","MGV (7.5-12 tonnes)","EV",0,"Registrations"
